year,province,mcpr_archange,p(1-x),provision_00,u(1-y),utilisation_10
2020,Adamawa,0.28999999,P1,153.35699,U1,10.051
2020,Centre,0.75999999,P1,1030.946,U1,31.365
2020,East,0.85000002,P1,604.10999,U1,44.099998
2020,Far North,0.34,P1,46.700001,U1,11.051
2020,Littoral,0.75,P1,390.02701,U1,35.419998
2020,North,0.34,P1,51.599998,U1,14.766
2020,Northwest,0.69999999,P1,214.151,U1,19.221001
2020,West,0.72000003,P1,837.82098,U1,41.499001
2020,South,0.5,P1,624.94,U1,13.839
2020,Southwest,0.64999998,P1,835.28699,U1,47.444
2020,Cameroon,0.66000003,P1,402.64801,U1,40.625
2021,Adamawa,,P1,153.35699,0.90U1,9.0459003
2021,Centre,,P1,1030.946,0.90U1,28.2285
2021,East,,P1,604.10999,0.90U1,39.689999
2021,Far North,,P1,46.700001,0.90U1,9.9459
2021,Littoral,,P1,390.02701,0.90U1,31.878
2021,North,,P1,51.599998,0.90U1,13.2894
2021,Northwest,,P1,214.151,0.90U1,17.298901
2021,West,,P1,837.82098,0.90U1,37.349098
2021,South,,P1,624.94,0.90U1,12.4551
2021,Southwest,,P1,835.28699,0.90U1,42.6996
2021,Cameroon,,P1,402.64801,0.90U1,36.5625
2022,Adamawa,,P1,153.35699,0.90U2,8.1413097
2022,Centre,,P1,1030.946,0.90U2,25.405649
2022,East,,P1,604.10999,0.90U2,35.721001
2022,Far North,,P1,46.700001,0.90U2,8.9513102
2022,Littoral,,P1,390.02701,0.90U2,28.690201
2022,North,,P1,51.599998,0.90U2,11.96046
2022,Northwest,,P1,214.151,0.90U2,15.56901
2022,West,,P1,837.82098,0.90U2,33.614189
2022,South,,P1,624.94,0.90U2,11.20959
2022,Southwest,,P1,835.28699,0.90U2,38.429642
2022,Cameroon,,P1,402.64801,0.90U2,32.90625
2023,Adamawa,,P1,153.35699,0.90U3,7.327179
2023,Centre,,P1,1030.946,0.90U3,22.865086
2023,East,,P1,604.10999,0.90U3,32.148899
2023,Far North,,P1,46.700001,0.90U3,8.056179
2023,Littoral,,P1,390.02701,0.90U3,25.82118
2023,North,,P1,51.599998,0.90U3,10.764414
2023,Northwest,,P1,214.151,0.90U3,14.012109
2023,West,,P1,837.82098,0.90U3,30.252771
2023,South,,P1,624.94,0.90U3,10.088631
2023,Southwest,,P1,835.28699,0.90U3,34.586678
2023,Cameroon,,P1,402.64801,0.90U3,29.615625
2024,Adamawa,,P1,153.35699,0.90U4,6.594461
